기준일ID,시군구코드,시군구명,인구수,전기차수
20221105,11110,종로구,299,571
20221105,11170,용산구,296,187
20221105,11305,강북구,292,881
20221105,11380,은평구,438,1349
20221105,11410,서대문구,368,348
20221105,11470,양천구,372,1085
20221105,11680,강남구,769,10954
20221105,11140,중구,268,267
20221105,11200,성동구,346,242
20221105,11215,광진구,385,389
20221105,11230,동대문구,368,127
20221105,11260,중랑구,355,345
20221105,11290,성북구,431,207
20221105,11320,도봉구,272,243
20221105,11350,노원구,496,259
20221105,11440,마포구,480,407
20221105,11470,양천구,372,311
20221105,11500,강서구,541,228
20221105,11530,구로구,412,352
20221105,11545,금천구,214,157
20221105,11560,영등포구,485,307
20221105,11590,동작구,396,204
20221105,11620,관악구,488,148
20221105,11650,서초구,531,3152
20221105,11710,송파구,746,208
20221105,11740,강동구,505,1577
